size,threads,time_ms,speedup_vs_1_thread,parallel_efficiency,checksum
64,1,2.4843420000,1.0000000000,1.0000000000,-32.5327730000
64,2,1.2694800000,1.9569760847,0.9784880423,-32.5327730000
64,4,0.6337900000,3.9198188674,0.9799547169,-32.5327730000
64,8,0.3170140000,7.8366949094,0.9795868637,-32.5327730000
64,16,0.3025280000,8.2119407129,0.5132462946,-32.5327730000
64,20,0.2429250000,10.2267860451,0.5113393023,-32.5327730000
128,1,10.0845970000,1.0000000000,1.0000000000,3389.4182710000
128,2,5.0864660000,1.9826333254,0.9913166627,3389.4182710000
128,4,2.5460830000,3.9608280641,0.9902070160,3389.4182710000
128,8,1.2421710000,8.1185255492,1.0148156937,3389.4182710000
128,16,1.2032270000,8.3812921419,0.5238307589,3389.4182710000
128,20,0.9610140000,10.4937045662,0.5246852283,3389.4182710000
256,1,40.6936320000,1.0000000000,1.0000000000,21875.5109750000
256,2,20.4574740000,1.9891816556,0.9945908278,21875.5109750000
256,4,10.2315870000,3.9772551414,0.9943137853,21875.5109750000
256,8,4.9869690000,8.1599929737,1.0199991217,21875.5109750000
256,16,4.7962860000,8.4844048082,0.5302753005,21875.5109750000
256,20,3.8996240000,10.4352706825,0.5217635341,21875.5109750000
512,1,162.8310440000,1.0000000000,1.0000000000,43439.1618610000
512,2,81.5029090000,1.9978556103,0.9989278051,43439.1618610000
512,4,40.8251870000,3.9884947496,0.9971236874,43439.1618610000
512,8,19.8374570000,8.2082619763,1.0260327470,43439.1618610000
512,16,19.1583120000,8.4992375111,0.5312023444,43439.1618610000
512,20,15.6595260000,10.3982102651,0.5199105133,43439.1618610000
