size,method,checksum,python_reference_checksum,abs_diff,status
64,sequential,-32.532773,-32.5326740000,9.8999999999e-05,PASS
64,openmp,-32.532773,-32.5326740000,9.8999999999e-05,PASS
64,cuda_naive,-32.532773,-32.5326740000,9.8999999999e-05,PASS
64,cuda_shared,-32.532773,-32.5326740000,9.8999999999e-05,PASS
64,python_reference,-32.532674,-32.5326740000,0.0000000000e+00,PASS
128,sequential,3389.418271,3389.4191230000,8.5200000012e-04,CHECK
128,openmp,3389.418271,3389.4191230000,8.5200000012e-04,CHECK
128,cuda_naive,3389.418271,3389.4191230000,8.5200000012e-04,CHECK
128,cuda_shared,3389.418271,3389.4191230000,8.5200000012e-04,CHECK
128,python_reference,3389.419123,3389.4191230000,0.0000000000e+00,PASS
256,sequential,21875.510975,21875.5130470000,2.0719999993e-03,CHECK
256,openmp,21875.510975,21875.5130470000,2.0719999993e-03,CHECK
256,cuda_naive,21875.510975,21875.5130470000,2.0719999993e-03,CHECK
256,cuda_shared,21875.510975,21875.5130470000,2.0719999993e-03,CHECK
256,python_reference,21875.513047,21875.5130470000,0.0000000000e+00,PASS
512,sequential,43439.161861,43439.1641460000,2.2850000023e-03,CHECK
512,openmp,43439.161861,43439.1641460000,2.2850000023e-03,CHECK
512,cuda_naive,43439.161861,43439.1641460000,2.2850000023e-03,CHECK
512,cuda_shared,43439.161861,43439.1641460000,2.2850000023e-03,CHECK
512,python_reference,43439.164146,43439.1641460000,0.0000000000e+00,PASS
