ME759 CNN convolution output comparison
--------------------------------------
Case: H=64, W=64, Cin=3, Cout=8, K=3
Tolerance: 1.0e-04

Checking input.csv and kernel.csv consistency across folders...
Input/kernel consistency: PASS
Wrote: input_kernel_consistency.csv

Filter 00 | sequential  | PASS | max_abs_diff=5.0000000029e-08, mean_abs_diff=8.6336491212e-09, rmse=1.1520606962e-08, mismatches>1.0e-04: 0
Filter 00 | openmp      | PASS | max_abs_diff=5.2000000000e-07, mean_abs_diff=2.4969238281e-07, rmse=2.8839940837e-07, mismatches>1.0e-04: 0
Filter 00 | cuda_naive  | PASS | max_abs_diff=5.0000000029e-08, mean_abs_diff=8.3544921876e-09, rmse=1.1736444974e-08, mismatches>1.0e-04: 0
Filter 00 | cuda_shared | PASS | max_abs_diff=5.0000000029e-08, mean_abs_diff=8.3544921876e-09, rmse=1.1736444974e-08, mismatches>1.0e-04: 0
Filter 01 | sequential  | PASS | max_abs_diff=8.0000000013e-08, mean_abs_diff=1.1901838208e-08, rmse=1.5877067638e-08, mismatches>1.0e-04: 0
Filter 01 | openmp      | PASS | max_abs_diff=5.4000000000e-07, mean_abs_diff=2.4895507813e-07, rmse=2.8754551270e-07, mismatches>1.0e-04: 0
Filter 01 | cuda_naive  | PASS | max_abs_diff=8.0000000013e-08, mean_abs_diff=1.1645507812e-08, rmse=1.5969636717e-08, mismatches>1.0e-04: 0
Filter 01 | cuda_shared | PASS | max_abs_diff=8.0000000013e-08, mean_abs_diff=1.1645507812e-08, rmse=1.5969636717e-08, mismatches>1.0e-04: 0
Filter 02 | sequential  | PASS | max_abs_diff=6.0000000024e-08, mean_abs_diff=7.9782829589e-09, rmse=1.0612181198e-08, mismatches>1.0e-04: 0
Filter 02 | openmp      | PASS | max_abs_diff=5.2000000000e-07, mean_abs_diff=2.5027832031e-07, rmse=2.8927922619e-07, mismatches>1.0e-04: 0
Filter 02 | cuda_naive  | PASS | max_abs_diff=6.0000000024e-08, mean_abs_diff=7.6953124999e-09, rmse=1.0890524121e-08, mismatches>1.0e-04: 0
Filter 02 | cuda_shared | PASS | max_abs_diff=6.0000000024e-08, mean_abs_diff=7.6953124999e-09, rmse=1.0890524121e-08, mismatches>1.0e-04: 0
Filter 03 | sequential  | PASS | max_abs_diff=5.9999999996e-08, mean_abs_diff=7.2140893066e-09, rmse=9.7933238023e-09, mismatches>1.0e-04: 0
Filter 03 | openmp      | PASS | max_abs_diff=5.2000000000e-07, mean_abs_diff=2.5068603516e-07, rmse=2.8984240229e-07, mismatches>1.0e-04: 0
Filter 03 | cuda_naive  | PASS | max_abs_diff=5.9999999996e-08, mean_abs_diff=6.8237304687e-09, rmse=1.0127362764e-08, mismatches>1.0e-04: 0
Filter 03 | cuda_shared | PASS | max_abs_diff=5.9999999996e-08, mean_abs_diff=6.8237304687e-09, rmse=1.0127362764e-08, mismatches>1.0e-04: 0
Filter 04 | sequential  | PASS | max_abs_diff=8.0000000013e-08, mean_abs_diff=1.2340932617e-08, rmse=1.6880439351e-08, mismatches>1.0e-04: 0
